UID,SLX,filename,cellcycle,min_ploidy,max_ploidy
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000133_R08-C67.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000126_R08-C60.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000127_R08-C61.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000128_R08-C62.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000728_R17-C60.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000429_R13-C33.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000730_R17-C62.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000134_R08-C68.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000135_R08-C69.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000231_R10-C29.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000230_R10-C28.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001216_R25-C44.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001067_R22-C59.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001082_R23-C06.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000747_R18-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001249_R27-C06.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001248_R27-C05.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001133_R23-C65.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001134_R23-C66.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000687_R17-C19.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000686_R17-C18.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000795_R18-C59.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000682_R17-C14.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000685_R17-C17.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000684_R17-C16.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000679_R17-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000678_R17-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000681_R17-C13.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000680_R17-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000296_R11-C26.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000297_R11-C27.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000294_R11-C24.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000295_R11-C25.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000292_R11-C22.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000291_R11-C21.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000068_R07-C70.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000896_R20-C24.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000298_R11-C28.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000299_R11-C29.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000973_R21-C33.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000584_R15-C52.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000999_R21-C59.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001336_R31-C17.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000817_R19-C13.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000816_R19-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000992_R21-C52.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000815_R19-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001064_R22-C56.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000814_R19-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000007_R07-C09.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000006_R07-C08.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000003_R07-C05.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000005_R07-C07.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000004_R07-C06.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000001_R07-C03.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000820_R19-C16.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001325_R31-C06.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001322_R31-C03.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000792_R18-C56.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001121_R23-C53.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000942_R20-C70.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000737_R17-C69.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001324_R31-C05.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001326_R31-C07.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001224_R25-C52.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000990_R21-C50.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000793_R18-C57.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001238_R26-C14.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000377_R12-C49.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001235_R26-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001234_R26-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001237_R26-C13.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001139_R24-C03.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000371_R12-C43.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000370_R12-C42.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000369_R12-C41.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000368_R12-C40.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000373_R12-C45.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000372_R12-C44.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000549_R15-C17.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000548_R15-C16.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000506_R14-C42.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000545_R15-C13.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000544_R15-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000543_R15-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000542_R15-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000551_R15-C19.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000550_R15-C18.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000726_R17-C58.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000226_R10-C24.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000464_R13-C68.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000465_R13-C69.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000900_R20-C28.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000901_R20-C29.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000460_R13-C64.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000461_R13-C65.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000462_R13-C66.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000463_R13-C67.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000457_R13-C61.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000458_R13-C62.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000199_R09-C65.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000198_R09-C64.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000201_R09-C67.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000200_R09-C66.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000195_R09-C61.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000196_R09-C62.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000660_R16-C60.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000662_R16-C62.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000203_R09-C69.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000202_R09-C68.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000667_R16-C67.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000666_R16-C66.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000144_R09-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000145_R09-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000146_R09-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000147_R09-C13.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000148_R09-C14.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000150_R09-C16.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000151_R09-C17.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000152_R09-C18.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000153_R09-C19.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000478_R14-C14.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000476_R14-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000477_R14-C13.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000474_R14-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000475_R14-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000094_R08-C28.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000095_R08-C29.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000823_R19-C19.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000788_R18-C52.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000998_R21-C58.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000087_R08-C21.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000088_R08-C22.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000090_R08-C24.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000091_R08-C25.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000093_R08-C27.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001142_R24-C06.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001205_R25-C17.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001214_R25-C42.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001037_R22-C29.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001293_R29-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001292_R29-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000671_R17-C03.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001262_R27-C19.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000789_R18-C53.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000428_R13-C32.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000556_R15-C24.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001200_R25-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000557_R15-C25.bam,G2,3.4,4.6
