UID,SLX,filename,cellcycle,min_ploidy,max_ploidy
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000865_R19-C61.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000871_R19-C67.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000868_R19-C64.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000869_R19-C65.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000949_R21-C09.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000948_R21-C08.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000873_R19-C69.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001335_R31-C16.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000943_R21-C03.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001143_R24-C07.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000433_R13-C37.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000431_R13-C35.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000430_R13-C34.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000192_R09-C58.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000193_R09-C59.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000426_R13-C30.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000191_R09-C57.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000184_R09-C50.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000185_R09-C51.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000186_R09-C52.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000187_R09-C53.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000585_R15-C53.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000077_R08-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000583_R15-C51.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000582_R15-C50.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000589_R15-C57.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000588_R15-C56.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000076_R08-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000665_R16-C65.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000079_R08-C13.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000664_R16-C64.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000505_R14-C41.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000504_R14-C40.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000507_R14-C43.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000509_R14-C45.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000508_R14-C44.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000513_R14-C49.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001093_R23-C17.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001198_R25-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000080_R08-C14.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001204_R25-C16.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001011_R22-C03.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001202_R25-C14.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001203_R25-C15.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001014_R22-C06.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000083_R08-C17.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001013_R22-C05.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000082_R08-C16.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001252_R27-C09.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001206_R25-C18.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001207_R25-C19.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000625_R16-C25.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000627_R16-C27.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000626_R16-C26.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000084_R08-C18.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001094_R23-C18.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001199_R25-C11.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000629_R16-C29.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000628_R16-C28.bam,G2,3.4,4.6
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001331_R31-C12.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000650_R16-C50.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000651_R16-C51.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000652_R16-C52.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000653_R16-C53.bam,S,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000482_R14-C18.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000656_R16-C56.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000658_R16-C58.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000659_R16-C59.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000483_R14-C19.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_001124_R23-C56.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000746_R18-C10.bam,G1,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000130_R08-C64.bam,D,1.7,2.3
UID-DLP-SA928,SLX-A73044A,UID-DLP-SA928_SLX-A73044A_000132_R08-C66.bam,D,1.7,2.3
