DropNo	X	Y	Diameter	Elongation	Circularity	Intensity	Cell ID
347	184.13	109.45	19.39	1.48	1.04	66.19	SINCEL_32_Plate_97_C10
393	95.18	107.87	16.73	1.68	1.07	82.19	SINCEL_32_Plate_97_D10
540	187.24	80.92	17.51	1.68	1.07	62.6	SINCEL_32_Plate_97_E10
609	280.55	122.49	21.49	1.34	1.02	59.45	SINCEL_32_Plate_97_F10
722	239.23	69.84	19.42	1.47	1.04	68.68	SINCEL_32_Plate_97_G10
783	229.82	111.52	21.04	1.75	1.08	67.98	SINCEL_32_Plate_97_H10
799	116.21	102.62	20.6	1.62	1.06	60.65	SINCEL_32_Plate_97_A11
807	164.31	61.59	21.69	1.66	1.06	71.01	SINCEL_32_Plate_97_B11
854	166.91	87.92	21.22	1.33	1.02	51.5	SINCEL_32_Plate_97_C11
1263	155.07	74.66	19.97	1.57	1.05	64.66	SINCEL_32_Plate_97_D11
1301	253.99	62.52	19.26	1.66	1.06	68.53	SINCEL_32_Plate_97_E11
1317	154.35	92.87	18.34	1.56	1.05	58.52	SINCEL_32_Plate_97_F11
1326	212.41	104.25	21.62	1.36	1.02	58.28	SINCEL_32_Plate_97_G11
1447	204.86	71.89	20.29	1.61	1.06	72.34	SINCEL_32_Plate_97_H11
1494	153.7	77.17	20.66	1.45	1.03	59.53	SINCEL_32_Plate_97_A12
1669	149.41	80.53	18.23	1.43	1.03	62.18	SINCEL_32_Plate_97_B12
1707	152.58	68.29	21.02	1.49	1.04	65.39	SINCEL_32_Plate_97_C12
1751	134.78	66.13	17.82	1.49	1.04	62.48	SINCEL_32_Plate_97_D12
1795	306.67	112.68	20.69	1.59	1.05	63.02	SINCEL_32_Plate_97_E12
1823	154.66	98.38	20.3	1.7	1.07	69.83	SINCEL_32_Plate_97_F12
2031	148.61	75.71	19.02	1.47	1.04	61.16	SINCEL_32_Plate_97_G12
2051	159.01	91.01	21.12	1.71	1.07	73.08	SINCEL_32_Plate_97_H12
