SINCEL-194_Plate_237_P11	2	pass
SINCEL-194_Plate_237_A12	3	pass
SINCEL-194_Plate_237_B12	3	pass
SINCEL-194_Plate_237_C12	3	pass
SINCEL-194_Plate_237_D12	3	fail
SINCEL-194_Plate_237_E12	3	pass
SINCEL-194_Plate_237_F12	3	pass
SINCEL-194_Plate_237_G12	3	pass
SINCEL-194_Plate_237_H12	3	pass
SINCEL-194_Plate_237_I12	3	fail
SINCEL-194_Plate_237_J12	3	pass
SINCEL-194_Plate_237_K12	3	pass
SINCEL-194_Plate_237_L12	3	fail
SINCEL-194_Plate_237_M12	3	pass
SINCEL-194_Plate_237_N12	3	pass
SINCEL-194_Plate_237_O12	3	pass
SINCEL-194_Plate_237_P12	3	pass
SINCEL-194_Plate_237_A13	3	pass
SINCEL-194_Plate_237_B13	3	pass
SINCEL-194_Plate_237_C13	3	pass
SINCEL-194_Plate_237_D13	3	pass
SINCEL-194_Plate_237_E13	3	pass
SINCEL-194_Plate_237_F13	3	pass
SINCEL-194_Plate_237_G13	3	pass
SINCEL-194_Plate_237_H13	3	pass
SINCEL-194_Plate_237_I13	3	fail
SINCEL-194_Plate_237_J13	3	pass
SINCEL-194_Plate_237_K13	3	pass
SINCEL-194_Plate_237_L13	3	pass
SINCEL-194_Plate_237_M13	3	pass
SINCEL-194_Plate_237_N13	3	pass
SINCEL-194_Plate_237_O13	3	pass
SINCEL-194_Plate_237_P13	3	pass
SINCEL-194_Plate_237_A14	3	pass
SINCEL-194_Plate_237_B14	3	pass
SINCEL-194_Plate_237_C14	3	pass
SINCEL-194_Plate_237_D14	3	pass
SINCEL-194_Plate_237_E14	3	pass
SINCEL-194_Plate_237_F14	3	pass
SINCEL-194_Plate_237_G14	3	pass
SINCEL-194_Plate_237_H14	3	pass
SINCEL-194_Plate_237_I14	3	pass
SINCEL-194_Plate_237_J14	3	pass
SINCEL-194_Plate_237_K14	3	pass
SINCEL-194_Plate_237_L14	3	pass
SINCEL-194_Plate_237_M14	3	pass
